circuit_name,description,ref_des,component_kind,component_type,component_value,component_value_type,pin_name,net_name
bjt_astable_multivibrator_dual_led,bjt astable multivibrator dual led,R3,primitive,resistor,20000,ohmic,A,NET_VCC
bjt_astable_multivibrator_dual_led,bjt astable multivibrator dual led,R3,primitive,resistor,20000,ohmic,B,NET_Q2_BASE
bjt_astable_multivibrator_dual_led,bjt astable multivibrator dual led,C1,primitive,capacitor,20,uf,A,NET_Q1_COLLECTOR
bjt_astable_multivibrator_dual_led,bjt astable multivibrator dual led,C1,primitive,capacitor,20,uf,B,NET_Q2_BASE
bjt_astable_multivibrator_dual_led,bjt astable multivibrator dual led,C2,primitive,capacitor,20,uf,A,NET_Q2_COLLECTOR
bjt_astable_multivibrator_dual_led,bjt astable multivibrator dual led,C2,primitive,capacitor,20,uf,B,NET_Q1_BASE
bjt_astable_multivibrator_dual_led,bjt astable multivibrator dual led,D1,primitive,led,,,ANODE,NET_VCC
bjt_astable_multivibrator_dual_led,bjt astable multivibrator dual led,D1,primitive,led,,,CATHODE,NET_D1_CATHODE_TO_R1_A
bjt_astable_multivibrator_dual_led,bjt astable multivibrator dual led,R1,primitive,resistor,220,ohmic,A,NET_D1_CATHODE_TO_R1_A
bjt_astable_multivibrator_dual_led,bjt astable multivibrator dual led,R1,primitive,resistor,220,ohmic,B,NET_Q1_COLLECTOR
bjt_astable_multivibrator_dual_led,bjt astable multivibrator dual led,D2,primitive,led,,,ANODE,NET_VCC
bjt_astable_multivibrator_dual_led,bjt astable multivibrator dual led,D2,primitive,led,,,CATHODE,NET_D2_CATHODE_TO_R4_A
bjt_astable_multivibrator_dual_led,bjt astable multivibrator dual led,R4,primitive,resistor,220,ohmic,A,NET_D2_CATHODE_TO_R4_A
bjt_astable_multivibrator_dual_led,bjt astable multivibrator dual led,R4,primitive,resistor,220,ohmic,B,NET_Q2_COLLECTOR
and_logic_gate,and logic gate,V1,source,voltage,9,v,POS,NET_VIN
and_logic_gate,and logic gate,V1,source,voltage,9,v,NEG,NET_GND
and_logic_gate,and logic gate,R1,primitive,resistor,1000,ohmic,A,NET_VIN
and_logic_gate,and logic gate,R1,primitive,resistor,1000,ohmic,B,NET_DRAIN
and_logic_gate,and logic gate,D1,primitive,led,,,ANODE,NET_DRAIN
and_logic_gate,and logic gate,D1,primitive,led,,,CATHODE,NET_DRAIN_MOSFET
and_logic_gate,and logic gate,Q1,primitive,mosfet,,,DRAIN,NET_DRAIN_MOSFET
and_logic_gate,and logic gate,Q1,primitive,mosfet,,,SOURCE,NET_GND
and_logic_gate,and logic gate,Q1,primitive,mosfet,,,GATE,NET_GATE
and_logic_gate,and logic gate,R2,primitive,resistor,10000,ohmic,A,NET_GATE
and_logic_gate,and logic gate,R2,primitive,resistor,10000,ohmic,B,NET_GND
and_logic_gate,and logic gate,SW2,primitive,switch,,,A,NET_VIN
and_logic_gate,and logic gate,SW2,primitive,switch,,,B,NET_GATE_CTRL
and_logic_gate,and logic gate,SW1,primitive,switch,,,A,NET_GATE_CTRL
and_logic_gate,and logic gate,SW1,primitive,switch,,,B,NET_GATE
555_pwm_generator_dual_diode_trim,555 pwm generator dual diode trim,V1,source,voltage,9,v,POS,NET_VCC
555_pwm_generator_dual_diode_trim,555 pwm generator dual diode trim,V1,source,voltage,9,v,NEG,NET_GND
555_pwm_generator_dual_diode_trim,555 pwm generator dual diode trim,U1,block,555_timer,,,VCC,NET_VCC
555_pwm_generator_dual_diode_trim,555 pwm generator dual diode trim,U1,block,555_timer,,,GND,NET_GND
555_pwm_generator_dual_diode_trim,555 pwm generator dual diode trim,U1,block,555_timer,,,RESET,NET_VCC
555_pwm_generator_dual_diode_trim,555 pwm generator dual diode trim,U1,block,555_timer,,,CTRL,NET_CONTROL
555_pwm_generator_dual_diode_trim,555 pwm generator dual diode trim,U1,block,555_timer,,,OUT,NET_OUT
555_pwm_generator_dual_diode_trim,555 pwm generator dual diode trim,U1,block,555_timer,,,DISCH,NET_DISCH
555_pwm_generator_dual_diode_trim,555 pwm generator dual diode trim,U1,block,555_timer,,,THRESH,NET_TIMING
555_pwm_generator_dual_diode_trim,555 pwm generator dual diode trim,U1,block,555_timer,,,TRIG,NET_TIMING
555_pwm_generator_dual_diode_trim,555 pwm generator dual diode trim,C2,primitive,capacitor,,,A,NET_CONTROL
555_pwm_generator_dual_diode_trim,555 pwm generator dual diode trim,C2,primitive,capacitor,,,B,NET_GND
555_pwm_generator_dual_diode_trim,555 pwm generator dual diode trim,R1,primitive,resistor,1000,ohmic,A,NET_VCC
555_pwm_generator_dual_diode_trim,555 pwm generator dual diode trim,R1,primitive,resistor,1000,ohmic,B,NET_DISCH
555_pwm_generator_dual_diode_trim,555 pwm generator dual diode trim,D2,primitive,diode,,,ANODE,NET_DISCH
555_pwm_generator_dual_diode_trim,555 pwm generator dual diode trim,D2,primitive,diode,,,CATHODE,NET_PWM_CTRL
555_pwm_generator_dual_diode_trim,555 pwm generator dual diode trim,D3,primitive,diode,,,ANODE,NET_PWM_CTRL
555_pwm_generator_dual_diode_trim,555 pwm generator dual diode trim,D3,primitive,diode,,,CATHODE,NET_DISCH
555_pwm_generator_dual_diode_trim,555 pwm generator dual diode trim,RV1,primitive,potentiometer,10000,ohmic,A,NET_PWM_CTRL
555_pwm_generator_dual_diode_trim,555 pwm generator dual diode trim,RV1,primitive,potentiometer,10000,ohmic,WIPER,NET_TIMING
555_pwm_generator_dual_diode_trim,555 pwm generator dual diode trim,RV1,primitive,potentiometer,10000,ohmic,B,NET_PWM_CTRL
555_pwm_generator_dual_diode_trim,555 pwm generator dual diode trim,C1,primitive,capacitor,,,A,NET_TIMING
555_pwm_generator_dual_diode_trim,555 pwm generator dual diode trim,C1,primitive,capacitor,,,B,NET_GND
555_pwm_generator_dual_diode_trim,555 pwm generator dual diode trim,R2,primitive,resistor,470,ohmic,A,NET_OUT
555_pwm_generator_dual_diode_trim,555 pwm generator dual diode trim,R2,primitive,resistor,470,ohmic,B,NET_R2_B_TO_D1_ANODE
555_pwm_generator_dual_diode_trim,555 pwm generator dual diode trim,D1,primitive,led,,,ANODE,NET_R2_B_TO_D1_ANODE
555_pwm_generator_dual_diode_trim,555 pwm generator dual diode trim,D1,primitive,led,,,CATHODE,NET_GND
555_monostable_one_shot_pushbutton,555 monostable one shot pushbutton,V1,source,voltage,9,v,POS,NET_VCC
555_monostable_one_shot_pushbutton,555 monostable one shot pushbutton,V1,source,voltage,9,v,NEG,NET_GND
555_monostable_one_shot_pushbutton,555 monostable one shot pushbutton,U1,block,555_timer,,,VCC,NET_VCC
555_monostable_one_shot_pushbutton,555 monostable one shot pushbutton,U1,block,555_timer,,,GND,NET_GND
555_monostable_one_shot_pushbutton,555 monostable one shot pushbutton,U1,block,555_timer,,,RESET,NET_VCC
555_monostable_one_shot_pushbutton,555 monostable one shot pushbutton,U1,block,555_timer,,,OUT,NET_OUT
555_monostable_one_shot_pushbutton,555 monostable one shot pushbutton,U1,block,555_timer,,,CTRL,NET_CONTROL
555_monostable_one_shot_pushbutton,555 monostable one shot pushbutton,U1,block,555_timer,,,TRIG,NET_TRIGGER
555_monostable_one_shot_pushbutton,555 monostable one shot pushbutton,U1,block,555_timer,,,THRESH,NET_TIMING
555_monostable_one_shot_pushbutton,555 monostable one shot pushbutton,U1,block,555_timer,,,DISCH,NET_TIMING
555_monostable_one_shot_pushbutton,555 monostable one shot pushbutton,R1,primitive,resistor,100000,ohmic,A,NET_VCC
555_monostable_one_shot_pushbutton,555 monostable one shot pushbutton,R1,primitive,resistor,100000,ohmic,B,NET_TRIGGER
555_monostable_one_shot_pushbutton,555 monostable one shot pushbutton,SW1,primitive,switch,,,A,NET_TRIGGER
555_monostable_one_shot_pushbutton,555 monostable one shot pushbutton,SW1,primitive,switch,,,B,NET_GND
555_monostable_one_shot_pushbutton,555 monostable one shot pushbutton,R2,primitive,resistor,40000,ohmic,A,NET_VCC
555_monostable_one_shot_pushbutton,555 monostable one shot pushbutton,R2,primitive,resistor,40000,ohmic,B,NET_TIMING
555_monostable_one_shot_pushbutton,555 monostable one shot pushbutton,C1,primitive,capacitor,100,uf,A,NET_TIMING
555_monostable_one_shot_pushbutton,555 monostable one shot pushbutton,C1,primitive,capacitor,100,uf,B,NET_GND
555_monostable_one_shot_pushbutton,555 monostable one shot pushbutton,C2,primitive,capacitor,100,nf,A,NET_CONTROL
555_monostable_one_shot_pushbutton,555 monostable one shot pushbutton,C2,primitive,capacitor,100,nf,B,NET_GND
555_monostable_one_shot_pushbutton,555 monostable one shot pushbutton,R3,primitive,resistor,470,ohmic,A,NET_OUT
555_monostable_one_shot_pushbutton,555 monostable one shot pushbutton,R3,primitive,resistor,470,ohmic,B,NET_R3_B_TO_D1_ANODE
555_monostable_one_shot_pushbutton,555 monostable one shot pushbutton,D1,primitive,led,,,ANODE,NET_R3_B_TO_D1_ANODE
555_monostable_one_shot_pushbutton,555 monostable one shot pushbutton,D1,primitive,led,,,CATHODE,NET_GND
555_light_level_comparator_dual_led,555 light level comparator dual led,V1,source,voltage,9,v,POS,NET_VCC
555_light_level_comparator_dual_led,555 light level comparator dual led,V1,source,voltage,9,v,NEG,NET_GND
555_light_level_comparator_dual_led,555 light level comparator dual led,U1,block,555_timer,,,VCC,NET_VCC
555_light_level_comparator_dual_led,555 light level comparator dual led,U1,block,555_timer,,,GND,NET_GND
555_light_level_comparator_dual_led,555 light level comparator dual led,U1,block,555_timer,,,RESET,NET_VCC
555_light_level_comparator_dual_led,555 light level comparator dual led,U1,block,555_timer,,,CTRL,NET_CONTROL
555_light_level_comparator_dual_led,555 light level comparator dual led,U1,block,555_timer,,,OUT,NET_OUT
555_light_level_comparator_dual_led,555 light level comparator dual led,U1,block,555_timer,,,THRESH,NET_DIV_MID_HIGH
555_light_level_comparator_dual_led,555 light level comparator dual led,U1,block,555_timer,,,TRIG,NET_DIV_MID_LOW
555_light_level_comparator_dual_led,555 light level comparator dual led,C1,primitive,capacitor,10,nf,A,NET_CONTROL
555_light_level_comparator_dual_led,555 light level comparator dual led,C1,primitive,capacitor,10,nf,B,NET_GND
555_light_level_comparator_dual_led,555 light level comparator dual led,R1,primitive,resistor,,,A,NET_VCC
555_light_level_comparator_dual_led,555 light level comparator dual led,R1,primitive,resistor,,,B,NET_DIV_MID_HIGH
555_light_level_comparator_dual_led,555 light level comparator dual led,R3,primitive,resistor,1000,ohmic,A,NET_DIV_MID_HIGH
555_light_level_comparator_dual_led,555 light level comparator dual led,R3,primitive,resistor,1000,ohmic,B,NET_DIV_MID_LOW
555_light_level_comparator_dual_led,555 light level comparator dual led,R2,primitive,resistor,,,A,NET_DIV_MID_LOW
555_light_level_comparator_dual_led,555 light level comparator dual led,R2,primitive,resistor,,,B,NET_GND
555_light_level_comparator_dual_led,555 light level comparator dual led,R4,primitive,resistor,470,ohmic,A,NET_VCC
555_light_level_comparator_dual_led,555 light level comparator dual led,R4,primitive,resistor,470,ohmic,B,NET_R4_B_TO_D1_ANODE
555_light_level_comparator_dual_led,555 light level comparator dual led,D1,primitive,led,,,ANODE,NET_R4_B_TO_D1_ANODE
555_light_level_comparator_dual_led,555 light level comparator dual led,D1,primitive,led,,,CATHODE,NET_OUT
555_light_level_comparator_dual_led,555 light level comparator dual led,R5,primitive,resistor,470,ohmic,A,NET_OUT
555_light_level_comparator_dual_led,555 light level comparator dual led,R5,primitive,resistor,470,ohmic,B,NET_R5_B_TO_D2_ANODE
555_light_level_comparator_dual_led,555 light level comparator dual led,D2,primitive,led,,,ANODE,NET_R5_B_TO_D2_ANODE
555_light_level_comparator_dual_led,555 light level comparator dual led,D2,primitive,led,,,CATHODE,NET_GND
555_astable_oscillator_led_output,555 astable oscillator led output,V1,source,voltage,9,v,POS,NET_VCC
555_astable_oscillator_led_output,555 astable oscillator led output,V1,source,voltage,9,v,NEG,NET_GND
555_astable_oscillator_led_output,555 astable oscillator led output,U1,block,555_timer,,,VCC,NET_VCC
555_astable_oscillator_led_output,555 astable oscillator led output,U1,block,555_timer,,,GND,NET_GND
555_astable_oscillator_led_output,555 astable oscillator led output,U1,block,555_timer,,,RESET,NET_VCC
555_astable_oscillator_led_output,555 astable oscillator led output,U1,block,555_timer,,,DISCH,NET_DISCH
555_astable_oscillator_led_output,555 astable oscillator led output,U1,block,555_timer,,,THRESH,NET_TIMING
555_astable_oscillator_led_output,555 astable oscillator led output,U1,block,555_timer,,,TRIG,NET_TIMING
555_astable_oscillator_led_output,555 astable oscillator led output,U1,block,555_timer,,,CTRL,NET_CONTROL
555_astable_oscillator_led_output,555 astable oscillator led output,U1,block,555_timer,,,OUT,NET_OUT
555_astable_oscillator_led_output,555 astable oscillator led output,R1,primitive,resistor,1000,ohmic,A,NET_VCC
555_astable_oscillator_led_output,555 astable oscillator led output,R1,primitive,resistor,1000,ohmic,B,NET_DISCH
555_astable_oscillator_led_output,555 astable oscillator led output,R2,primitive,resistor,1000,ohmic,A,NET_DISCH
555_astable_oscillator_led_output,555 astable oscillator led output,R2,primitive,resistor,1000,ohmic,B,NET_TIMING
555_astable_oscillator_led_output,555 astable oscillator led output,C2,primitive,capacitor,220,nf,A,NET_TIMING
555_astable_oscillator_led_output,555 astable oscillator led output,C2,primitive,capacitor,220,nf,B,NET_GND
555_astable_oscillator_led_output,555 astable oscillator led output,C1,primitive,capacitor,1,uf,A,NET_CONTROL
555_astable_oscillator_led_output,555 astable oscillator led output,C1,primitive,capacitor,1,uf,B,NET_GND
555_astable_oscillator_led_output,555 astable oscillator led output,R3,primitive,resistor,470,ohmic,A,NET_OUT
555_astable_oscillator_led_output,555 astable oscillator led output,R3,primitive,resistor,470,ohmic,B,NET_R3_B_TO_D1_ANODE
555_astable_oscillator_led_output,555 astable oscillator led output,D1,primitive,led,,,ANODE,NET_R3_B_TO_D1_ANODE
555_astable_oscillator_led_output,555 astable oscillator led output,D1,primitive,led,,,CATHODE,NET_GND
,,,,,,,,
button_debounce,RC debounce with schmitt trigger,V1,source,voltage,,,POS,NET_VIN
button_debounce,RC debounce with schmitt trigger,V1,source,voltage,,,NEG,NET_GND
button_debounce,RC debounce with schmitt trigger,R1,primitive,resistor,10000,ohmic,A,NET_VIN
button_debounce,RC debounce with schmitt trigger,R1,primitive,resistor,10000,ohmic,B,NET_BUTTON_NODE
button_debounce,RC debounce with schmitt trigger,R2,primitive,resistor,10000,ohmic,A,NET_BUTTON_NODE
button_debounce,RC debounce with schmitt trigger,R2,primitive,resistor,10000,ohmic,B,NET_SCHMITT_IN
button_debounce,RC debounce with schmitt trigger,D1,primitive,diode,,,ANODE,NET_VIN
button_debounce,RC debounce with schmitt trigger,D1,primitive,diode,,,CATHODE,NET_SCHMITT_IN
button_debounce,RC debounce with schmitt trigger,C1,primitive,capacitor,0.1,uf,A,NET_SCHMITT_IN
button_debounce,RC debounce with schmitt trigger,C1,primitive,capacitor,0.1,uf,B,NET_GND
button_debounce,RC debounce with schmitt trigger,SW1,primitive,switch,,,A,NET_BUTTON_NODE
button_debounce,RC debounce with schmitt trigger,SW1,primitive,switch,,,B,NET_GND
button_debounce,RC debounce with schmitt trigger,U1,block,schmitt_trigger,,,IN,NET_SCHMITT_IN
button_debounce,RC debounce with schmitt trigger,U1,block,schmitt_trigger,,,OUT,NET_VOUT
,,,,,,,,
astable_555_timer,555 astable oscillator,V1,source,voltage,,,POS,NET_VIN
astable_555_timer,555 astable oscillator,V1,source,voltage,,,NEG,NET_GND
astable_555_timer,555 astable oscillator,U1,block,555_timer,,,VCC,NET_VIN
astable_555_timer,555 astable oscillator,U1,block,555_timer,,,GND,NET_GND
astable_555_timer,555 astable oscillator,U1,block,555_timer,,,OUT,NET_VOUT
astable_555_timer,555 astable oscillator,U1,block,555_timer,,,DISCH,NET_DISCHARGE
astable_555_timer,555 astable oscillator,U1,block,555_timer,,,THRESH,NET_TIMING_NODE
astable_555_timer,555 astable oscillator,U1,block,555_timer,,,TRIG,NET_TIMING_NODE
astable_555_timer,555 astable oscillator,R1,primitive,resistor,10000,ohmic,A,NET_VIN
astable_555_timer,555 astable oscillator,R1,primitive,resistor,10000,ohmic,B,NET_DISCHARGE
astable_555_timer,555 astable oscillator,R2,primitive,resistor,100000,ohmic,A,NET_DISCHARGE
astable_555_timer,555 astable oscillator,R2,primitive,resistor,100000,ohmic,B,NET_TIMING_NODE
astable_555_timer,555 astable oscillator,C1,primitive,capacitor,10,uf,A,NET_TIMING_NODE
astable_555_timer,555 astable oscillator,C1,primitive,capacitor,10,uf,B,NET_GND
,,,,,,,,
bistable_555_timer,555 latch circuit,V1,source,voltage,,,POS,NET_VIN
bistable_555_timer,555 latch circuit,V1,source,voltage,,,NEG,NET_GND
bistable_555_timer,555 latch circuit,U1,block,555_timer,,,OUT,NET_VOUT
bistable_555_timer,555 latch circuit,U1,block,555_timer,,,TRIG,NET_TRIGGER
bistable_555_timer,555 latch circuit,U1,block,555_timer,,,RESET,NET_RESET
bistable_555_timer,555 latch circuit,R1,primitive,resistor,10000,ohmic,A,NET_VIN
bistable_555_timer,555 latch circuit,R1,primitive,resistor,10000,ohmic,B,NET_TRIGGER
bistable_555_timer,555 latch circuit,R2,primitive,resistor,10000,ohmic,A,NET_VIN
bistable_555_timer,555 latch circuit,R2,primitive,resistor,10000,ohmic,B,NET_RESET
bistable_555_timer,555 latch circuit,SW1,primitive,switch,,,A,NET_TRIGGER
bistable_555_timer,555 latch circuit,SW1,primitive,switch,,,B,NET_GND
bistable_555_timer,555 latch circuit,SW2,primitive,switch,,,A,NET_RESET
bistable_555_timer,555 latch circuit,SW2,primitive,switch,,,B,NET_GND
,,,,,,,,
pwm_555_timer_trim_pot,555 PWM generator,V1,source,voltage,,,POS,NET_VIN
pwm_555_timer_trim_pot,555 PWM generator,V1,source,voltage,,,NEG,NET_GND
pwm_555_timer_trim_pot,555 PWM generator,U1,block,555_timer,,,OUT,NET_VOUT
pwm_555_timer_trim_pot,555 PWM generator,U1,block,555_timer,,,DISCH,NET_DISCHARGE
pwm_555_timer_trim_pot,555 PWM generator,U1,block,555_timer,,,THRESH,NET_TIMING_NODE
pwm_555_timer_trim_pot,555 PWM generator,RV1,primitive,potentiometer,100000,ohmic,A,NET_VIN
pwm_555_timer_trim_pot,555 PWM generator,RV1,primitive,potentiometer,100000,ohmic,WIPER,NET_VIN
pwm_555_timer_trim_pot,555 PWM generator,RV1,primitive,potentiometer,100000,ohmic,B,NET_DISCHARGE
pwm_555_timer_trim_pot,555 PWM generator,R1,primitive,resistor,1000,ohmic,A,NET_DISCHARGE
pwm_555_timer_trim_pot,555 PWM generator,R1,primitive,resistor,1000,ohmic,B,NET_TIMING_NODE
pwm_555_timer_trim_pot,555 PWM generator,D1,primitive,diode,,,ANODE,NET_TIMING_NODE
pwm_555_timer_trim_pot,555 PWM generator,D1,primitive,diode,,,CATHODE,NET_DISCHARGE
pwm_555_timer_trim_pot,555 PWM generator,C1,primitive,capacitor,10,uf,A,NET_TIMING_NODE
pwm_555_timer_trim_pot,555 PWM generator,C1,primitive,capacitor,10,uf,B,NET_GND
